Grouping,Number of Respondents,1 to 100 ($),101 to 500 ($),501 to 1000 ($),1001 to 2000 ($),2001 to 5000 ($),5001 to 10000 ($),10001 to 20000 ($),20001 to 50000 ($),50000+ ($),Mean,Median,,,,,,,,,,,,,,,,,,,,,,,,
Troll,144,3.472222222,10.41666667,12.5,18.05555556,25,13.19444444,7.638888889,6.25,3.472222222,7984.520833,3500,144,3.5,10.4,12.5,18.1,25,13.2,7.6,6.3,3.5,"7,985","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Bait for Pelagic,43,0,9.302325581,4.651162791,6.976744186,16.27906977,16.27906977,18.60465116,20.93023256,6.976744186,18702.34884,7500,43,0,9.3,4.7,7,16.3,16.3,18.6,20.9,7,"18,702","7,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
HL for Deep7 deep,40,2.5,5,15,17.5,17.5,20,15,5,2.5,7903.75,3500,40,2.5,5,15,17.5,17.5,20,15,5,2.5,"7,904","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
HL for Deep7 shallow,22,4.545454545,9.090909091,0,22.72727273,27.27272727,27.27272727,0,9.090909091,0,6552.272727,3500,22,4.5,9.1,0,22.7,27.3,27.3,0,9.1,0,"6,552","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Spear,5,0,0,40,40,0,20,0,0,0,2400,1500,5,0,0,40,40,0,20,0,0,0,"2,400","1,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
By Sub-fishery,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Pelagic,268,2.611940299,9.328358209,11.19402985,16.04477612,22.76119403,15.67164179,9.701492537,8.582089552,4.104477612,9859.597015,3500,268,2.6,9.3,11.2,16,22.8,15.7,9.7,8.6,4.1,"9,860","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Deep7 Bottom,162,1.851851852,8.641975309,9.87654321,14.19753086,23.45679012,14.81481481,11.11111111,11.11111111,4.938271605,11474.39506,3500,162,1.9,8.6,9.9,14.2,23.5,14.8,11.1,11.1,4.9,"11,474","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Non-Deep7 Bottom,167,2.395209581,8.383233533,8.982035928,17.96407186,19.76047904,20.35928144,6.586826347,10.17964072,5.389221557,11120.67066,3500,167,2.4,8.4,9,18,19.8,20.4,6.6,10.2,5.4,"11,121","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Coral Reef,50,0,8,6,18,24,14,10,16,4,12209,3500,50,0,8,6,18,24,14,10,16,4,"12,209","3,500",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
