,,All Respondents,Pelagic,Bottomfish,Reef
,0%,6.042296072507553,5.69620253164557,3.557312252964427,1.9607843137254901
,1%-9%,23.26283987915408,23.10126582278481,21.34387351778656,21.568627450980394
,10%-39%,45.9214501510574,46.20253164556962,50.19762845849802,58.82352941176471
,40%-59%,18.12688821752266,18.354430379746837,17.786561264822133,15.686274509803921
,60%-89%+,6.042296072507553,6.012658227848101,6.324110671936759,1.9607843137254901
,90%-100%,0.6042296072507553,0.6329113924050633,0.7905138339920948,
,Mean,24.196465256797584,24.354525316455696,24.96201581027668,21.809803921568626
"Catch disposition, caught and released",Number of respondents (n),331,316,253,51
,0%,41.08761329305136,40.50632911392405,36.36363636363637,37.254901960784316
,1%-9%,47.43202416918429,48.41772151898734,50.59288537549407,52.94117647058824
,10%-39%,10.574018126888216,10.126582278481013,12.25296442687747,9.803921568627452
,40%-59%,0.6042296072507553,0.6329113924050633,0.7905138339920948,
,60%-89%+,0.3021148036253776,0.31645569620253167,,
,90%-100%,,,,
,Mean,4.705861027190332,4.68240506329114,5.0157312252964426,3.8168627450980392
"Catch disposition, sold",Number of respondents (n),331,316,253,51
,0%,15.407854984894259,15.50632911392405,15.41501976284585,3.9215686274509802
,1%-9%,9.667673716012084,9.81012658227848,9.486166007905137,7.8431372549019605
,10%-39%,20.54380664652568,20.569620253164558,19.76284584980237,27.450980392156865
,40%-59%,16.012084592145015,16.455696202531644,17.786561264822133,13.725490196078432
,60%-89%+,27.19033232628399,27.531645569620256,28.063241106719367,33.33333333333333
,90%-100%,11.178247734138973,10.126582278481013,9.486166007905137,13.725490196078432
,Mean,43.78262839879154,43.341930379746834,43.42059288537549,49.85568627450981
Market outlet: seafood dealer/wholesaler,Number of respondents (n),279,268,214,49
,0%,37.634408602150536,37.6865671641791,35.046728971962615,32.6530612244898
,1%-9%,3.225806451612903,3.3582089552238807,4.205607476635514,4.081632653061225
,10%-39%,13.620071684587815,13.805970149253731,14.485981308411214,8.16326530612245
,40%-59%,9.31899641577061,9.701492537313433,11.214953271028037,6.122448979591836
,60%-89%+,8.60215053763441,8.955223880597014,10.2803738317757,20.408163265306122
,90%-100%,27.598566308243726,26.492537313432834,24.766355140186917,28.57142857142857
,Mean,40.74426523297491,40.140485074626866,40.498364485981305,47.142857142857146
market outlet: Auction,Number of respondents (n),279,268,214,49
,0%,73.83512544802868,73.13432835820896,71.96261682242991,85.71428571428571
,1%-9%,1.7921146953405016,1.8656716417910446,2.336448598130841,
,10%-39%,4.301075268817205,4.477611940298507,4.205607476635514,2.0408163265306123
,40%-59%,5.017921146953405,5.223880597014925,6.074766355140187,2.0408163265306123
,60%-89%+,2.5089605734767026,2.6119402985074625,2.336448598130841,2.0408163265306123
,90%-100%,12.544802867383511,12.686567164179104,13.084112149532709,8.16326530612245
,Mean,17.406774193548387,17.748097014925374,18.245280373831775,10.714285714285714
market outlet: Restaurants/stores,Number of respondents (n),279,268,214,49
,0%,63.08243727598566,62.68656716417911,60.747663551401864,65.3061224489796
,1%-9%,7.168458781362006,7.08955223880597,7.476635514018691,10.204081632653061
,10%-39%,9.67741935483871,9.701492537313433,9.813084112149532,14.285714285714285
,40%-59%,9.67741935483871,10.074626865671641,11.682242990654206,4.081632653061225
,60%-89%+,2.5089605734767026,2.2388059701492535,3.2710280373831773,2.0408163265306123
,90%-100%,7.885304659498208,8.208955223880597,7.009345794392523,4.081632653061225
,Mean,16.20182795698925,16.54966417910448,16.84570093457944,10.578163265306122
Marte outlet: Roadside/farmers' market,Number of respondents (n),279,268,214,49
,0%,85.66308243727599,85.07462686567165,84.57943925233646,77.55102040816327
,1%-9%,2.867383512544803,2.9850746268656714,3.7383177570093453,6.122448979591836
,10%-39%,6.451612903225806,6.7164179104477615,6.074766355140187,14.285714285714285
,40%-59%,3.225806451612903,3.3582089552238807,3.7383177570093453,2.0408163265306123
,60%-89%+,1.0752688172043012,1.1194029850746268,1.4018691588785046,
,90%-100%,0.7168458781362007,0.7462686567164178,0.46728971962616817,
,Mean,4.540573476702509,4.726940298507463,4.899485981308411,4.557755102040816
Market outlet: Friends/neighbors/coworkers,Number of respondents (n),279,268,214,49
,0%,51.25448028673835,50.74626865671642,48.598130841121495,44.89795918367347
,1%-9%,9.67741935483871,9.701492537313433,11.682242990654206,8.16326530612245
,10%-39%,16.48745519713262,17.16417910447761,17.75700934579439,20.408163265306122
,40%-59%,8.960573476702509,8.955223880597014,10.74766355140187,10.204081632653061
,60%-89%+,5.734767025089606,5.597014925373134,4.205607476635514,8.16326530612245
,90%-100%,7.885304659498208,7.835820895522389,7.009345794392523,8.16326530612245
,Mean,20.156415770609318,20.218805970149255,19.207056074766356,23.74142857142857
Catch distribution,Number of respondents (n),340,325,259,53
,I kept all the fish,45.88235294117647,45.230769230769226,45.173745173745175,39.62264150943396
,I kept/received some % of total fish caught,16.176470588235293,16.615384615384617,16.216216216216218,9.433962264150944
,I kept/received some % of trip revenue,4.705882352941177,4.923076923076923,5.019305019305019,3.7735849056603774
,Don't know,31.176470588235293,31.384615384615383,31.27413127413127,47.16981132075472
,Other,2.0588235294117645,1.8461538461538463,2.3166023166023164,
Sold fish,Number of respondents (n),344,329,263,55
,No,,,,
,Yes,85.17441860465115,85.1063829787234,85.17110266159695,96.36363636363636
Own boat that fish on,Number of respondents (n),345,330,264,55
,No,,,,
,Yes,95.94202898550725,95.75757575757575,95.83333333333334,96.36363636363636
Race,Number of respondents (n),338,323,259,55
,Asian,38.75739644970414,37.461300309597526,43.62934362934363,36.36363636363637
,Native Hawaiian,12.42603550295858,12.693498452012383,13.513513513513514,23.636363636363637
,Other Pacific Islander,6.21301775147929,6.5015479876160995,5.405405405405405,10.909090909090908
,White,26.627218934911244,27.55417956656347,19.69111969111969,5.454545454545454
,Mixed,15.976331360946746,15.789473684210526,17.760617760617762,23.636363636363637
Age,Number of respondents (n),343,328,262,55
,< 25 years,1.4577259475218658,1.524390243902439,1.9083969465648856,3.6363636363636362
,25-34 years,6.997084548104956,7.317073170731707,8.778625954198473,18.181818181818183
,35-44 years,11.078717201166182,10.975609756097562,11.83206106870229,12.727272727272727
,45-54 years,17.20116618075802,17.98780487804878,17.557251908396946,20
,55-64 years,25.072886297376094,25,22.519083969465647,18.181818181818183
,65+ years,38.19241982507289,37.19512195121951,37.404580152671755,27.27272727272727
Education,Number of respondents (n),341,326,261,55
,< High School Grad,2.346041055718475,2.4539877300613497,1.532567049808429,
,High School Grad,21.700879765395893,21.165644171779142,19.54022988505747,27.27272727272727
,Some Collage/Associates Degree,43.10850439882698,42.944785276073624,43.67816091954023,40
,BA and Higher,32.84457478005865,33.43558282208589,35.24904214559387,32.72727272727273
Primary fishing motivation,Number of respondents (n),313,300,235,47
,Recreational Expense,33.86581469648562,34,33.191489361702125,21.27659574468085
,Part-Time Commercial,30.031948881789138,29.666666666666668,26.80851063829787,38.297872340425535
,Subsistence,15.654952076677317,16,17.02127659574468,23.404255319148938
,Full-Time Commercial,10.86261980830671,10.666666666666668,12.76595744680851,10.638297872340425
,Purely Recreational,8.30670926517572,8.333333333333332,8.936170212765958,4.25531914893617
,Cultural,1.2779552715654952,1.3333333333333335,1.276595744680851,2.127659574468085
Income,Number of respondents (n),324,309,248,53
,<$10k,1.5432098765432098,1.2944983818770228,1.2096774193548387,
,$10k-$24999,4.62962962962963,4.53074433656958,4.435483870967742,5.660377358490567
,$25k-$49999,17.901234567901234,17.79935275080906,18.951612903225808,16.9811320754717
,$50k-$99999,36.11111111111111,36.24595469255664,36.29032258064516,47.16981132075472
,$100k-$249999,33.95061728395062,34.3042071197411,35.88709677419355,26.41509433962264
,$250k+,5.864197530864197,5.825242718446602,3.225806451612903,3.7735849056603774
Annual landings of fish,Number of respondents (n),342,327,262,55
,1 to 50,2.3391812865497075,2.4464831804281344,1.9083969465648856,1.8181818181818181
,51 to 100,2.923976608187134,2.7522935779816518,2.6717557251908395,3.6363636363636362
,101 to 500,23.684210526315788,24.464831804281346,21.374045801526716,16.363636363636363
,501 to 1000,21.929824561403507,22.32415902140673,19.083969465648856,7.2727272727272725
,1001 to 5000,37.42690058479532,36.69724770642202,42.36641221374045,49.09090909090909
,5000+,11.695906432748536,11.314984709480122,12.595419847328243,21.818181818181817
,Mean,3161.535087719298,3076.152905198777,3233.507633587786,3570.509090909091
Annual landings of pelagic fish,Number of respondents (n),342,327,262,55
,0,6.725146198830409,4.587155963302752,6.870229007633588,18.181818181818183
,1 to 50,7.309941520467836,6.727828746177369,8.015267175572518,9.090909090909092
,51 to 100,6.432748538011696,6.727828746177369,7.251908396946565,5.454545454545454
,101 to 500,26.900584795321635,27.522935779816514,25.572519083969464,18.181818181818183
,501 to 1000,23.391812865497073,24.464831804281346,20.610687022900763,23.636363636363637
,1001 to 5000,20.46783625730994,20.795107033639145,22.519083969465647,12.727272727272727
,5000+,8.771929824561402,9.174311926605505,9.16030534351145,12.727272727272727
,Mean,2428.5204678362575,2516.4495412844035,2439.790076335878,1698.509090909091
Annual landings of deep 7 bottomfish,Number of respondents (n),342,327,262,55
,0,43.859649122807014,43.11926605504588,29.770992366412212,41.81818181818181
,1 to 50,19.883040935672515,20.18348623853211,24.045801526717558,18.181818181818183
,51 to 100,9.064327485380117,9.174311926605505,11.450381679389313,5.454545454545454
,101 to 500,13.742690058479532,14.37308868501529,17.17557251908397,18.181818181818183
,501 to 1000,8.47953216374269,8.256880733944955,11.068702290076336,12.727272727272727
,1001 to 5000,4.678362573099415,4.892966360856269,6.106870229007633,3.6363636363636362
,5000+,0.29239766081871343,,,
,Mean,259.1929824561403,212.59633027522935,335.2824427480916,240.45454545454547
Annual landings of shallow bottomfish,Number of respondents (n),342,327,262,55
,0,36.25730994152047,37.00305810397553,22.900763358778626,21.818181818181817
,1 to 50,24.853801169590643,25.076452599388375,29.389312977099237,29.09090909090909
,51 to 100,12.865497076023392,12.844036697247708,15.267175572519085,12.727272727272727
,101 to 500,18.421052631578945,18.04281345565749,22.519083969465647,27.27272727272727
,501 to 1000,5.847953216374268,5.5045871559633035,7.633587786259542,7.2727272727272725
,1001 to 5000,1.7543859649122806,1.529051987767584,2.2900763358778624,1.8181818181818181
,5000+,,,,
,Mean,154.57602339181287,146.60550458715596,195.28625954198472,175.72727272727272
Annual landings of near shore & reef fish,Number of respondents (n),342,327,262,55
,0,39.76608187134503,40.67278287461774,30.15267175572519,
,1 to 50,24.853801169590643,25.688073394495415,28.62595419847328,30.909090909090907
,51 to 100,9.064327485380117,8.868501529051988,10.687022900763358,12.727272727272727
,101 to 500,17.251461988304094,17.12538226299694,20.99236641221374,23.636363636363637
,501 to 1000,4.678362573099415,4.587155963302752,6.106870229007633,9.090909090909092
,1001 to 5000,3.508771929824561,2.7522935779816518,2.6717557251908395,18.181818181818183
,5000+,0.8771929824561403,0.3058103975535168,0.7633587786259541,5.454545454545454
,Mean,319.2456140350877,200.50152905198777,263.14885496183206,1455.8181818181818
Total value of fish sold,Number of respondents (n),280,268,215,50
,1 to 100 ($),2.5,2.6119402985074625,2.3255813953488373,
,101 to 500 ($),8.928571428571429,9.328358208955224,8.372093023255815,8
,501 to 1000 ($),10.714285714285714,11.194029850746269,8.837209302325581,6
,1001 to 2000 ($),15.714285714285714,16.044776119402986,15.348837209302326,18
,2001 to 5000 ($),22.142857142857142,22.761194029850746,22.790697674418606,24
,5001 to 10000 ($),17.142857142857142,15.671641791044777,19.069767441860467,14.000000000000002
,10001 to 20000 ($),10,9.701492537313433,8.837209302325581,10
,20001 to 50000 ($),8.571428571428571,8.582089552238806,9.767441860465116,16
,50000+ ($),4.285714285714286,4.104477611940299,4.651162790697675,4
,Mean,10115.614285714286,9859.597014925374,10718.148837209303,12209
Total value of fish sold from Pelagic fish,Number of respondents (n),271,261,211,48
,0 ($),12.177121771217712,9.578544061302683,13.270142180094787,20.833333333333336
,1 to 100 ($),5.904059040590406,6.130268199233716,6.6350710900473935,6.25
,101 to 500 ($),16.605166051660518,16.85823754789272,17.535545023696685,16.666666666666664
,501 to 1000 ($),11.07011070110701,11.494252873563218,8.530805687203792,6.25
,1001 to 2000 ($),12.177121771217712,12.643678160919542,11.848341232227488,18.75
,2001 to 5000 ($),15.867158671586715,16.091954022988507,15.165876777251185,12.5
,5001 to 10000 ($),10.70110701107011,11.11111111111111,11.374407582938389,4.166666666666666
,10001 to 20000 ($),6.273062730627306,6.513409961685824,5.213270142180095,4.166666666666666
,20001 to 50000 ($),7.380073800738007,7.662835249042145,8.530805687203792,10.416666666666668
,50000+ ($),1.8450184501845017,1.9157088122605364,1.8957345971563981,
,Mean,6097.616752767528,6316.395172413793,6226.998293838863,5062.740625
Total vlaue of fish sold from deep 7 bottomfish,Number of respondents (n),271,261,211,48
,0 ($),52.02952029520295,51.34099616858238,39.81042654028436,47.91666666666667
,1 to 100 ($),4.797047970479705,4.980842911877394,6.161137440758294,6.25
,101 to 500 ($),13.284132841328415,13.793103448275861,16.113744075829384,14.583333333333334
,501 to 1000 ($),7.011070110701106,6.896551724137931,9.004739336492891,8.333333333333332
,1001 to 2000 ($),5.166051660516605,5.363984674329502,6.161137440758294,12.5
,2001 to 5000 ($),8.487084870848708,8.812260536398467,10.90047393364929,2.083333333333333
,5001 to 10000 ($),4.797047970479705,4.597701149425287,6.161137440758294,4.166666666666666
,10001 to 20000 ($),3.6900369003690034,3.8314176245210727,4.739336492890995,2.083333333333333
,20001 to 50000 ($),0.7380073800738007,0.38314176245210724,0.9478672985781991,2.083333333333333
,50000+ ($),,,,
,Mean,1539.660295202952,1454.0150957854405,1965.3930805687203,1606.5947916666667
Total value of fish sold from shallow bottomfish,Number of respondents (n),271,261,211,48
,0 ($),57.93357933579336,59.00383141762452,48.81516587677725,43.75
,1 to 100 ($),8.118081180811808,8.42911877394636,10.42654028436019,12.5
,101 to 500 ($),10.70110701107011,10.727969348659004,12.796208530805686,10.416666666666668
,501 to 1000 ($),6.273062730627306,6.130268199233716,7.5829383886255926,12.5
,1001 to 2000 ($),6.273062730627306,6.130268199233716,7.109004739336493,10.416666666666668
,2001 to 5000 ($),5.535055350553505,5.363984674329502,7.109004739336493,6.25
,5001 to 10000 ($),3.6900369003690034,2.681992337164751,4.265402843601896,4.166666666666666
,10001 to 20000 ($),1.107011070110701,1.1494252873563218,1.4218009478672986,
,20001 to 50000 ($),0.36900369003690037,0.38314176245210724,0.47393364928909953,
,50000+ ($),,,,
,Mean,870.9173062730628,801.3164367816092,1061.2255450236967,751.8552083333333
Total value of fish sold from Nearshore and reef fish,Number of respondents (n),271,261,211,48
,0 ($),76.01476014760148,76.62835249042146,72.03791469194313,50
,1 to 100 ($),4.059040590405904,4.21455938697318,4.739336492890995,2.083333333333333
,101 to 500 ($),8.118081180811808,8.42911877394636,10.42654028436019,10.416666666666668
,501 to 1000 ($),2.952029520295203,3.065134099616858,3.3175355450236967,10.416666666666668
,1001 to 2000 ($),3.6900369003690034,3.8314176245210727,4.265402843601896,6.25
,2001 to 5000 ($),0.7380073800738007,0.38314176245210724,0.9478672985781991,
,5001 to 10000 ($),2.952029520295203,2.681992337164751,3.3175355450236967,12.5
,10001 to 20000 ($),1.107011070110701,0.38314176245210724,0.47393364928909953,6.25
,20001 to 50000 ($),0.36900369003690037,0.38314176245210724,0.47393364928909953,2.083333333333333
,50000+ ($),,,,
,Mean,652.9335793357934,522.7777777777778,649.739336492891,2797.03125
